
Name                                                    Status
----                                                    ------
AarSvc_578d4                                           Stopped
AJRouter                                               Stopped
ALG                                                    Stopped
AppIDSvc                                               Stopped
AppMgmt                                                Stopped
AppReadiness                                           Stopped
AppVClient                                             Stopped
AppXSvc                                                Stopped
aspnet_state                                           Stopped
AssignedAccessManagerSvc                               Stopped
autotimesvc                                            Stopped
AxInstSV                                               Stopped
BcastDVRUserService_578d4                              Stopped
BDESVC                                                 Stopped
BITS                                                   Stopped
BluetoothUserService_578d4                             Stopped
BTAGService                                            Stopped
bthserv                                                Stopped
camsvc                                                 Stopped
CaptureService_578d4                                   Stopped
ClipSVC                                                Stopped
COMSysApp                                              Stopped
ConsentUxUserSvc_578d4                                 Stopped
CredentialEnrollmentManagerUserSvc_578d4               Stopped
CscService                                             Stopped
debugregsvc                                            Stopped
defragsvc                                              Stopped
DeveloperToolsService                                  Stopped
DeviceAssociationBrokerSvc_578d4                       Stopped
DeviceInstall                                          Stopped
DevicePickerUserSvc_578d4                              Stopped
DevicesFlowUserSvc_578d4                               Stopped
DevQueryBroker                                         Stopped
diagnosticshub.standardcollector.service               Stopped
diagsvc                                                Stopped
DisplayEnhancementService                              Stopped
DmEnrollmentSvc                                        Stopped
dmwappushservice                                       Stopped
dot3svc                                                Stopped
DsmSvc                                                 Stopped
DsSvc                                                  Stopped
Eaphost                                                Stopped
EasyAntiCheat                                          Stopped
edgeupdate                                             Stopped
edgeupdatem                                            Stopped
EFS                                                    Stopped
embeddedmode                                           Stopped
EntAppSvc                                              Stopped
Fax                                                    Stopped
fhsvc                                                  Stopped
FileSyncHelper                                         Stopped
FrameServer                                            Stopped
GoogleChromeElevationService                           Stopped
gpsvc                                                  Stopped
GraphicsPerfSvc                                        Stopped
gupdate                                                Stopped
gupdatem                                               Stopped
HgClientService                                        Stopped
icssvc                                                 Stopped
Intel(R) Capability Licensing Service TCP IP Interface Stopped
Intel(R) TPM Provisioning Service                      Stopped
IpxlatCfgSvc                                           Stopped
KtmRm                                                  Stopped
lfsvc                                                  Stopped
lltdsvc                                                Stopped
LxpSvc                                                 Stopped
LxssManager                                            Stopped
LxssManagerUser_578d4                                  Stopped
MapsBroker                                             Stopped
MessagingService_578d4                                 Stopped
MicrosoftEdgeElevationService                          Stopped
MixedRealityOpenXRSvc                                  Stopped
MSDTC                                                  Stopped
MSiSCSI                                                Stopped
msiserver                                              Stopped
MSSQL$SQLEXPRESS                                       Stopped
MSSQLFDLauncher$SQLEXPRESS                             Stopped
NaturalAuthentication                                  Stopped
NcaSvc                                                 Stopped
Netlogon                                               Stopped
Netman                                                 Stopped
NetSetupSvc                                            Stopped
NetTcpPortSharing                                      Stopped
NgcCtnrSvc                                             Stopped
NgcSvc                                                 Stopped
OneDrive Updater Service                               Stopped
Origin Client Service                                  Stopped
Origin Web Helper Service                              Stopped
ose64                                                  Stopped
p2pimsvc                                               Stopped
p2psvc                                                 Stopped
PeerDistSvc                                            Stopped
perceptionsimulation                                   Stopped
PerfHost                                               Stopped
pla                                                    Stopped
PNRPAutoReg                                            Stopped
PNRPsvc                                                Stopped
PrintNotify                                            Stopped
PrintWorkflowUserSvc_578d4                             Stopped
PushToInstall                                          Stopped
QWAVE                                                  Stopped
RasAuto                                                Stopped
RemoteAccess                                           Stopped
RemoteRegistry                                         Stopped
RetailDemo                                             Stopped
RmSvc                                                  Stopped
RpcLocator                                             Stopped
SCardSvr                                               Stopped
ScDeviceEnum                                           Stopped
SCPolicySvc                                            Stopped
SDRSVC                                                 Stopped
Sense                                                  Stopped
SensorDataService                                      Stopped
SensorService                                          Stopped
SensrSvc                                               Stopped
SharedRealitySvc                                       Stopped
shpamsvc                                               Stopped
smphost                                                Stopped
SmsRouter                                              Stopped
SNMPTRAP                                               Stopped
spectrum                                               Stopped
sppsvc                                                 Stopped
SQLAgent$DEVELOP                                       Stopped
SQLAgent$RELEASE                                       Stopped
SQLAgent$SQLEXPRESS                                    Stopped
SQLBrowser                                             Stopped
SQLSERVERAGENT                                         Stopped
SQLTELEMETRY                                           Stopped
SQLTELEMETRY$DEVELOP                                   Stopped
SQLTELEMETRY$RELEASE                                   Stopped
SQLTELEMETRY$SQLEXPRESS                                Stopped
SSASTELEMETRY$RELEASE                                  Stopped
ssh-agent                                              Stopped
sshd                                                   Stopped
SshdBroker                                             Stopped
SSISTELEMETRY150                                       Stopped
Steam Client Service                                   Stopped
svsvc                                                  Stopped
swprv                                                  Stopped
TieringEngineService                                   Stopped
TroubleshootingSvc                                     Stopped
TrustedInstaller                                       Stopped
tzautoupdate                                           Stopped
UevAgentService                                        Stopped
uhssvc                                                 Stopped
upnphost                                               Stopped
VacSvc                                                 Stopped
VBoxSDS                                                Stopped
vds                                                    Stopped
vmicguestinterface                                     Stopped
vmicheartbeat                                          Stopped
vmickvpexchange                                        Stopped
vmicrdv                                                Stopped
vmicshutdown                                           Stopped
vmictimesync                                           Stopped
vmicvmsession                                          Stopped
vmicvss                                                Stopped
VSS                                                    Stopped
VSStandardCollectorService150                          Stopped
W32Time                                                Stopped
w3logsvc                                               Stopped
WaaSMedicSvc                                           Stopped
WalletService                                          Stopped
WarpJITSvc                                             Stopped
wbengine                                               Stopped
wcncsvc                                                Stopped
WebClient                                              Stopped
WebManagement                                          Stopped
Wecsvc                                                 Stopped
WEPHOSTSVC                                             Stopped
wercplsupport                                          Stopped
WerSvc                                                 Stopped
WFDSConMgrSvc                                          Stopped
WiaRpc                                                 Stopped
WinRM                                                  Stopped
wisvc                                                  Stopped
WlanSvc                                                Stopped
wlidsvc                                                Stopped
wlpasvc                                                Stopped
WManSvc                                                Stopped
wmiApSrv                                               Stopped
WMPNetworkSvc                                          Stopped
workfolderssvc                                         Stopped
WpcMonSvc                                              Stopped
WPDBusEnum                                             Stopped
WwanSvc                                                Stopped
XblAuthManager                                         Stopped
XblGameSave                                            Stopped
XboxGipSvc                                             Stopped
XboxNetApiSvc                                          Stopped

